iter,lr,img_size,loss_total,loss_xy,loss_wh,loss_obj,loss_cls
1,1.0000000000000003e-15,608,91074.2421875,180.17007446289062,193.68722534179688,90448.3046875,252.07510375976562
2,1.6000000000000004e-14,608,91133.1875,190.8338165283203,106.78409576416016,90561.265625,274.30487060546875
3,8.100000000000001e-14,608,91248.6640625,204.33734130859375,128.3520050048828,90640.1796875,275.791259765625
4,2.5600000000000007e-13,608,90978.7265625,178.86378479003906,196.4273681640625,90350.2890625,253.14881896972656
5,6.250000000000001e-13,608,91338.4453125,195.6689910888672,129.17605590820312,90743.7265625,269.8754577636719
6,1.2960000000000001e-12,608,91039.546875,171.10107421875,121.90058135986328,90512.15625,234.38746643066406
7,2.4010000000000004e-12,608,90902.8125,162.16871643066406,117.95106506347656,90389.265625,233.42501831054688
8,4.096000000000001e-12,608,90999.28125,222.4207763671875,126.45867156982422,90331.25,319.1465759277344
9,6.560999999999998e-12,608,91187.3203125,222.3292236328125,169.22816467285156,90524.234375,271.5302734375
10,1.0000000000000001e-11,608,91014.28125,183.180908203125,174.35018920898438,90409.625,247.12258911132812
11,1.4640999999999996e-11,544,73194.859375,187.05899047851562,142.718994140625,72610.5703125,254.51702880859375
12,2.0736000000000002e-11,544,72802.46875,182.14854431152344,128.4786376953125,72268.3671875,223.46856689453125
13,2.8560999999999995e-11,544,72480.9609375,146.24505615234375,141.350830078125,72008.8359375,184.52590942382812
14,3.8416000000000006e-11,544,72818.359375,171.51730346679688,159.78756713867188,72276.65625,210.40374755859375
15,5.062499999999999e-11,544,73236.78125,175.37074279785156,110.11264038085938,72718.9609375,232.3424072265625
16,6.553600000000002e-11,544,73056.1796875,221.39480590820312,245.50259399414062,72352.1875,237.0892333984375
17,8.352100000000002e-11,544,72940.0546875,199.91065979003906,156.76620483398438,72343.03125,240.35073852539062
18,1.0497599999999997e-10,544,73255.0390625,198.85523986816406,165.51052856445312,72615.7265625,274.94586181640625
19,1.30321e-10,544,72940.7890625,176.95599365234375,143.17579650878906,72364.84375,255.82127380371094
20,1.6000000000000002e-10,544,73023.453125,175.90179443359375,175.89395141601562,72405.3125,266.33819580078125
21,1.9448100000000007e-10,384,36999.69140625,163.305908203125,185.44351196289062,36397.7421875,253.19647216796875
22,2.3425599999999994e-10,384,36709.6171875,147.97793579101562,133.5051727294922,36210.234375,217.90219116210938
23,2.79841e-10,384,36684.1015625,164.5472869873047,118.83602905273438,36158.515625,242.1984405517578
24,3.3177600000000003e-10,384,36782.03515625,179.87686157226562,181.25552368164062,36172.7421875,248.16046142578125
